box-img href,box-img src,name,level,detail,date,description,refcount
https://www.books.com.tw/booksComment/memberComment/xxx4442111,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,宇宙,Lv.4,5,2025/02/10,《被討厭的勇氣》自出版以來引發了巨大的關注與爭議。有人稱它是一部改變人生的啟示，也有人批評它過於武斷，甚至覺得它在「教人自私」。但這些反感與批評，常常是因為讀者執著於書中字面的表達，而忽略了它背後深刻的核心：如何擺脫對他人評價的依賴，回歸自己的生活目標，活出真正的自由與意義。本書核心：不為他人而活，也不控制他人書中以哲學家的「課題分離」概念為基石，提出了一個革命性的觀點：我們不需要為他人的期待和評價負責，因為那是他人的課題，而非我們的責任。同時，我們也無權干涉他人的選擇，因為每個人都是獨立的個體。真正的自由不是反抗他人，而是擺脫束縛內心的枷鎖。你可以接受自己「被討厭」，不再為取悅他人而活，從而專注於自己的人生目標，找到屬於自己的價值。這些觀念可能會讓人誤解成一種冷漠或武斷的態度，但書中強調：課題分離的前提是尊重與愛。 我們不干涉他人的課題，不是因為自私，而是因為真正的愛與尊重，來自於對他人獨立性的承認。正是這種尊重，讓人際關係變得更加輕鬆與真誠。活出自由的第一步：打破過去的枷鎖書中還挑戰了我們對過去的執著觀念。許多人認為，過去的經歷塑造了現在的自己，因此無法改變。但哲學家用阿德勒的「目的論」反駁這種「因果論」：我們的行為並非被過去決定，而是被我們對未來目標的選擇所驅動。這並不是否定過去的影響，而是告訴我們：無論過去發生過什麼，你仍然擁有當下的自由，去選擇未來的人生方向。你無需回頭改變過去，只需改變此刻的目標。不僅僅是離開舒適圈，而是回歸意義的追尋《被討厭的勇氣》的真正核心，並不在於那些表面的「自我成長」口號，比如離開舒適圈、接受挑戰，而是在於幫助我們看清：人生的意義來自於什麼？ 不是來自外界的掌聲，而是來自你對自己目標的認可。如何面對人際關係的壓力？ 不是通過控制他人來獲得安全感，而是通過尊重彼此的獨立性，建立真誠的連結。什麼是真正的自由？ 不是無視他人，而是從他人的評價中解脫，帶著尊重與愛活出自己的價值。推薦延伸閱讀：《自卑與超越》如果《被討厭的勇氣》啟發了你，建議進一步閱讀阿德勒的傳世經典《自卑與超越》。這本書以更全面的視角探討如何超越自卑、擁抱人生的意義，並深入剖析我們如何通過「社會興趣」（對人類共同體的關懷）來實現真正的心理健康。總結一句話：《被討厭的勇氣》不是教你反抗他人，而是教你擺脫依賴，尊重自己與他人的自由，回歸愛與意義的核心。,2
https://www.books.com.tw/booksComment/memberComment/TrBbRzlHr1,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,TrBbRzlHr1,Lv.1,0.5,2024/12/27,這本書其實就是想要表達「脫離舒適圈」而已。還有運用對話是不錯但是很多年輕人對哲學家提出的問題，哲學家都是用『答非所問』的方式帶過不敢正面回答問題。有夠爛的一本書  垃圾 看完完全沒幫助 浪費我寶貴的時間,8
https://www.books.com.tw/booksComment/memberComment/AiSjRsjsHT,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,Gary,Lv.1,5,2024/11/23,非常棒的一本書，完全改變以往的觀念，讓我人生多了很多不同的想法，這樣的好書，在這裡推薦給大家，相信大家一定會喜歡👍,2
https://www.books.com.tw/booksComment/memberComment/Osb8OOkMHm,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,拓海,Lv.2,4.5,2024/11/01,"書名在當時造成一陣旋風細細閱讀書的內容而非譁眾取寵被討厭並不是壞事, 首先要先愛自己如何做到而不干涉他人 並且適當維持彼此的關係執行上最困難的事學會課題分離值得推薦的一本好書",2
https://www.books.com.tw/booksComment/memberComment/hj6Y6u1z88,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,CC,Lv.3,5,2024/10/24,"作者深入淺出以對話的方式傳達阿德勒個體心理學的觀點, 並將一般大眾可能有的疑問藉由對話的方式提出並解答, 引發思考內文淺顯易懂收穫很多, 推薦!!",2
https://www.books.com.tw/booksComment/memberComment/xxx4448458,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,Nicole,Lv.1,5,2024/10/24,"跟蛤蟆先生看心理醫生差不多的概念，也是用第三視角看兩個人的對話,從對話中去思考並理解看似很深卻解釋的很白話的概念，我覺得這本書是可以重複翻來閱讀，每一次都可以從中找到心中問題的答案",3
https://www.books.com.tw/booksComment/memberComment/FfocxmdJ6R,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,老年初級讀者,Lv.1,4,2024/08/26,書中用著反覆對話的方式，讓讀者去咀嚼思考其中的意義。讀完後，我認為這本書是給予讀者另一種層面的體悟，讓我們去學習不替自己找藉口，要為自己的人生負責。並且活在當下做好每件事情，尊重每個人的決定，不去加以干涉，不隨便進入到別人的課題中。,2
https://www.books.com.tw/booksComment/memberComment/otYbIftmt1,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,熊爸,Lv.1,5,2024/07/15,「決定我們自身的，不是過去的經歷，而是我們賦予經歷的意義。」人生不乏挫折，如何看待是關鍵，本書解讀人生問題，藉由了解問題本質，我們定義期正向意涵，方能突破困境。此理，放諸各領域，仔細琢磨，都能有所啟發。,18
https://www.books.com.tw/booksComment/memberComment/lXOZ1gsSLl,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/2024/01/person_01.png&v=65a0fdcek&w=80&h=80,Alan,Lv.3,4.5,2024/06/03,全文以淺顯易懂的對話講解其概念，讀起來不會很枯燥，而且也用其他理論做為對比讓人想法有所延伸，對於阿德勒並不很熟悉，所以看到他的理論時覺得截然不同，令人眼睛一亮，但同時在現實生活中很難去實踐。,12
https://www.books.com.tw/booksComment/memberComment/xxx5449171,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,林小花,Lv.5,5,2024/04/14,2025.6.11 洪教主在2025.5.25的直播中有提到這句，記錄一下。『阿德勒: 我們不是被經驗決定的人， 我們是給經驗賦予意義的人。』2024.很多年前讀過這本，印象最深的就是課題分離。最近再重讀一次，有更深刻的感受。分成三大重點：１.目的論：「目的」可以調整情緒、行為、想法跟詮釋。重點在於你有沒有改變自我的勇氣與決心。不想改變就可以找到一堆藉口。２.體驗共同體：有三大重點相互影響。A.自我接納：接受現在的自己，向能做到的部分邁進。彌補自卑(不足)，實現優越，也就是自我超越。這裡也是有提到善用自己所擁有的資源，專注在自己能改變的地方，而非不能改變的地方。很多書都有提到專注在自己沒有的東西，永遠不會幸福。因為看到沒有是匱乏感，看到擁有是一種富足與感恩。B.(無條件)信賴他人：其他書也有提到，在資源缺稀的狀態下，競爭關係就會讓朋友變成敵人。從競爭關係跳脫，就能從不安的關係中解脫，這樣就能視旁人為夥伴而不是敵人(競爭對手)。我個人覺得無條件信賴的不是他人，而是自己。就像一行禪師講的，瞭解自己，接納自己，相信自己是有能力。因為相信自己是有能力的，即便被別人錯待，也沒關係。C.貢獻他人：在貢獻他人之前，要先放下對認可的追求，雖然別人的表揚可以體會自己的價值，消除自卑，增加自信心。但，活在別人的期待中，一輩子都會受苦。所以要先學會界線設立，課題分離，先照顧好自己的需求，再來談談貢獻他人 。貢獻他人可以體驗到我對他人有用，進而體驗到自己的價值，例如工作。若說課題分離是人際關係的起點，那麼共同體就是終點。我們並不是世界的中心，而是整體的一部分。共同體需要發展的不是縱向關係 (批評或表揚)，而是發展橫向關係，也就是對存在本身表示感謝；平等、真誠、鼓勵，傳達喜悅與尊重。３.幸福：要有甘於平凡的勇氣，因為人生是由一連串的此時此刻所創造出來的，唯有活在當下才能體驗幸福。記錄一下自己的心得。,22
